relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
test/java/DefaultPackageClass.java,DefaultPackageClass,3,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main/java/org/apache/felix/scr/impl/AbstractExtender.java,org.apache.felix.scr.impl.AbstractExtender,163,163,0,0,0,0,6,6,19,19,22,163,107,0,1,0,6,0,6,19,0,0,0,1,1,0,0.0,0,0,0,0.175438596491228,0.0849673202614379,0.75,1,53,1,155,139,10,2,0.907407407407407,0.725146198830409,0.181286549707602,0.140350877192982,0.722222222222222,0.555555555555556,-0.62962962962963,0.75,0,0,0,807.895145951627,1,4,0,0,6,0,0,0,2,0,0,0,0,1,2,0,4,0,27,0,1,96,0
main/java/org/apache/felix/scr/impl/Activator.java,org.apache.felix.scr.impl.Activator,309,309,0,0,0,0,16,10,22,11,15,308,151,1,0,1,6,6,0,5,11,6,1,0,0,1,0.272727272727273,0,0,0,0.212121212121212,0.6,0.833333333333333,1,0,1,18,0,2,2,0.75,0.666666666666667,0.672727272727273,0.318181818181818,0.9,0.9,-0.615384615384614,0.833333333333333,0,0,6,0.0,11,10,0,0,0,0,0,0,120,0,0,0,9,42,111,1,10,1,8,1,36,144,1
main/java/org/apache/felix/scr/impl/BundleComponentActivator.java,org.apache.felix.scr.impl.BundleComponentActivator,508,508,0,0,0,0,11,11,25,25,42,508,247,0,0,0,0,0,0,25,0,0,0,0,0,0,0.0,0,0,0,0.0727272727272727,0.409420289855072,0.438095238095238,0.904761904761905,18,0.904761904761905,168,36,2,1,0.848484848484849,0.867272727272727,0.456666666666667,0.185454545454545,0.958333333333333,0.916666666666667,-0.68627450980392,0.438095238095238,0,0,0,0.0,18,10,0,0,0,0,0,0,85,0,0,0,0,42,85,0,10,0,42,11,42,127,1
test/java/org/apache/felix/scr/impl/BundleComponentActivatorTest.java,org.apache.felix.scr.impl.BundleComponentActivatorTest,92,92,0,0,0,0,0,0,10,10,3,91,58,1,0,1,0,0,0,10,0,0,1,0,0,1,0.0,0,0,0,0.1,-0.194444444444444,0.0222222222222222,0.0222222222222222,8,0,45,45,10,8,undefined,0.8,0.0444444444444444,undefined,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,24,0,0,0,0,8,24,0,0,0,3,0,8,11,0
main/java/org/apache/felix/scr/impl/ComponentActorThread.java,org.apache.felix.scr.impl.ComponentActorThread,112,112,0,0,0,0,3,3,4,4,5,112,47,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.3125,1,1,1,2,1,0,0,1,1,0.333333333333333,0.458333333333333,1,0.75,1,1,0,1,0,0,0,0.0,2,3,0,0,0,0,0,0,5,0,0,0,0,1,5,2,3,2,5,4,1,9,1
main/java/org/apache/felix/scr/impl/ComponentCommands.java,org.apache.felix.scr.impl.ComponentCommands,454,454,0,0,0,0,11,11,27,27,46,455,353,0,1,0,0,0,0,27,0,0,0,1,1,0,0.0,0,0,0,0.0617283950617284,0.116923076923077,0.316017316017316,0.588744588744589,81,0.519480519480519,303,255,13,3,0.937062937062937,0.88625092328796,0.182336182336182,0.0976430976430976,0.692307692307692,0.653846153846154,-0.633986928104577,0.298701298701299,0,0,0,4262.611323125229,4,10,0,0,0,0,0,0,5,0,0,0,0,2,5,4,10,3,50,12,2,29,2
main/java/org/apache/felix/scr/impl/ComponentCommandsScrInfo.java,org.apache.felix.scr.impl.ComponentCommandsScrInfo,62,62,0,0,0,0,2,2,5,5,12,62,43,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.4,0.666666666666667,1,1,2,1,3,0,1,1,0.5,0.466666666666667,0.8,0.6,1,1,-0.428571428571429,1,0,0,0,0.0,1,2,0,0,0,0,0,0,10,0,0,0,0,5,10,0,2,0,13,1,5,12,1
main/java/org/apache/felix/scr/impl/ComponentConverterFactory.java,org.apache.felix.scr.impl.ComponentConverterFactory,23,23,0,0,0,0,1,1,3,3,6,23,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.5,-2,0,0,0,0,3,3,3,3,1,0.333333333333333,0,0.333333333333333,0,0,-1,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,3,1
main/java/org/apache/felix/scr/impl/ComponentRegistry.java,org.apache.felix.scr.impl.ComponentRegistry,458,458,0,0,0,0,14,14,22,22,31,458,238,0,0,0,0,0,0,22,0,0,0,0,0,0,0.0,0,0,0,0.0640495867768595,0.147619047619048,0.266666666666667,0.652380952380952,4,0.652380952380952,181,131,5,3,0.921768707482993,0.877410468319559,0.225108225108225,0.12012987012987,0.904761904761905,0.666666666666667,-0.722222222222221,0.266666666666667,0,0,0,0.0,16,10,0,0,0,0,0,0,76,0,0,0,0,30,76,3,10,2,33,24,30,45,1
