relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
fontbox/src/main/java/org/apache/fontbox/afm/AFMParser.java,org.apache.fontbox.afm.AFMParser,691,691,0,0,0,0,65,65,18,18,12,690,452,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0873015873015873,0.110294117647059,1,1,141,1,148,143,14,1,0.996380090497738,0.838468720821662,0.209150326797386,0.058974358974359,0.823529411764706,0.764705882352941,0,1,0,0,0,0.0,8,64,0,0,0,0,0,0,173,0,0,0,0,88,173,0,64,0,18,9,88,87,0
fontbox/src/main/java/org/apache/fontbox/afm/CharMetric.java,org.apache.fontbox.afm.CharMetric,133,133,0,0,0,0,14,14,29,29,15,132,73,0,0,0,0,0,0,29,0,0,0,0,0,0,0.0,0,0,0,0.0738916256157636,-0.0317460317460317,0.0394088669950739,0.0394088669950739,0,0.0394088669950739,390,374,14,14,0.961734693877551,0.866995073891626,0.0394088669950739,0.0714285714285714,0.0714285714285714,0.0714285714285714,-0.111111111111101,0.0394088669950739,0,0,0,0.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,34,0,29,0
fontbox/src/main/java/org/apache/fontbox/afm/Composite.java,org.apache.fontbox.afm.Composite,25,25,0,0,0,0,2,2,5,5,3,24,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.2,0,0.4,0.4,0,0.4,6,2,2,2,0.625,0.6,0.4,0.5,0.5,0.5,0,0.4,0,0,0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,5,0
fontbox/src/main/java/org/apache/fontbox/afm/CompositePart.java,org.apache.fontbox.afm.CompositePart,30,30,0,0,0,0,3,3,6,6,3,29,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.25,-0.2,0.2,0.2,0,0.2,12,9,3,3,0.8,0.566666666666667,0.2,0.333333333333333,0.2,0.2,0,0.2,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,6,0
fontbox/src/main/java/org/apache/fontbox/afm/FontMetric.java,org.apache.fontbox.afm.FontMetric,408,408,0,0,0,0,36,36,80,80,43,407,222,0,0,0,0,0,0,80,0,0,0,0,0,0,0.0,0,0,0,0.0383928571428571,-0.00843881856540084,0.0172022070756248,0.0191496267445635,0,0.0191496267445635,3107,3054,36,36,0.984528832630098,0.928458408679928,0.0167721518987342,0.0277777777777778,0.0632911392405063,0.0253164556962025,-0.635897435897436,0.0172022070756248,0,0,0,0.0,5,17,0,0,0,0,0,0,8,0,0,0,0,8,8,6,17,8,40,68,8,87,0
fontbox/src/main/java/org/apache/fontbox/afm/KernPair.java,org.apache.fontbox.afm.KernPair,39,39,0,0,0,0,4,4,8,8,4,38,21,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.25,-0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,24,20,4,4,0.857142857142857,0.571428571428571,0.142857142857143,0.25,0.142857142857143,0.142857142857143,-1,0.142857142857143,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,16,0,8,0
fontbox/src/main/java/org/apache/fontbox/afm/Ligature.java,org.apache.fontbox.afm.Ligature,21,21,0,0,0,0,2,2,4,4,2,20,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.5,-0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,4,2,2,2,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,0,4,0
fontbox/src/main/java/org/apache/fontbox/afm/TrackKern.java,org.apache.fontbox.afm.TrackKern,48,48,0,0,0,0,5,5,10,10,5,47,26,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.25,-0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,40,35,5,5,0.888888888888889,0.633333333333333,0.111111111111111,0.2,0.111111111111111,0.111111111111111,1,0.111111111111111,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,10,0
fontbox/src/main/java/org/apache/fontbox/cff/AFMFormatter.java,org.apache.fontbox.cff.AFMFormatter,115,115,0,0,0,0,0,0,8,8,12,114,72,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.5,-0.0476190476190476,1,1,17,1,28,28,8,2,undefined,0.523809523809524,0.214285714285714,undefined,0,0,-0.384615384615385,1,0,0,0,0.0,6,0,0,0,0,0,0,0,71,0,0,0,0,42,71,0,0,0,14,1,42,68,0
fontbox/src/main/java/org/apache/fontbox/cff/CFFDataInput.java,org.apache.fontbox.cff.CFFDataInput,32,32,0,0,0,0,2,0,17,6,2,31,18,1,0,1,0,0,0,6,11,0,1,0,0,1,0.0,0,0,0,0.166666666666667,-0.5,0,0,0,0,15,15,6,6,undefined,0.666666666666667,0,undefined,0,0,0,0,0,0,6,0.0,0,0,0,0,0,0,0,0,7,0,0,0,7,6,0,1,0,19,0,34,0,18,0
