relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/felix/framework/BundleContextImpl.java,org.apache.felix.framework.BundleContextImpl,286,286,0,0,0,0,4,4,30,30,36,285,147,0,0,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0708333333333333,0.36206896551724105,0.710769230769231,0.710769230769231,24,0.710769230769231,270,105,10,5,0.724137931034483,0.876724137931034,0.404597701149425,0.3,0.827586206896552,0.793103448275862,-0.41721854304636,0.710769230769231,0,0,0,0.0,3,3,0,0,0,0,0,0,63,0,0,0,0,19,63,0,3,0,47,4,19,287,0
main/java/org/apache/felix/framework/BundleImpl.java,org.apache.felix.framework.BundleImpl,890,890,0,0,0,0,13,13,71,71,55,890,453,0,1,0,8,0,8,71,0,0,0,1,1,0,0.0,13,0,13,0.0466549295774648,0.0815734989648033,0.408653846153846,0.692307692307692,92,0.692307692307692,2267,2049,28,3,0.93956043956044,0.919064386317907,0.107444668008048,0.0736728060671723,0.9,0.8,-0.428125000000001,0.408653846153846,0,0,0,3689.912847082701,10,6,1,31,165,0,0,0,159,0,0,0,0,75,159,5,5,9,64,33,36,391,0
main/java/org/apache/felix/framework/BundleProtectionDomain.java,org.apache.felix.framework.BundleProtectionDomain,54,54,0,0,0,0,4,4,7,7,5,53,29,1,0,1,0,0,0,7,0,0,1,0,0,1,0.0,0,0,0,0.178571428571429,0.2,0.2,0.266666666666667,0,0.266666666666667,12,3,1,1,0.708333333333333,0.666666666666667,0.42857142857142894,0.392857142857143,1.0,1.0,0,0.2,0,0,0,0.0,3,3,0,0,0,0,0,0,11,0,0,0,0,4,11,0,3,1,6,4,4,19,0
main/java/org/apache/felix/framework/ExportedPackageImpl.java,org.apache.felix.framework.ExportedPackageImpl,66,66,0,0,0,0,6,6,8,8,4,65,34,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.125,0.42857142857142894,0.428571428571429,0.428571428571429,1,0.428571428571429,12,0,1,1,0.809523809523809,0.75,0.5714285714285711,0.291666666666667,1.0,1.0,0,0.428571428571429,0,0,0,0.0,4,5,0,0,0,0,0,0,11,0,0,0,0,10,11,0,5,0,9,2,10,16,0
main/java/org/apache/felix/framework/ExtensionManager.java,org.apache.felix.framework.ExtensionManager,464,464,0,0,0,0,12,12,24,24,30,463,244,1,0,1,0,0,0,24,0,0,1,0,0,1,0.0,0,0,0,0.100694444444444,0.0434782608695652,0.0571428571428571,0.104761904761905,25,0.104761904761905,248,220,12,10,0.923913043478261,0.817934782608696,0.123188405797101,0.114583333333333,0.5217391304347829,0.4782608695652171,-0.847328244274808,0.0571428571428571,0,0,0,0.0,16,9,0,0,0,0,0,0,70,0,0,0,0,36,70,1,7,0,32,9,36,92,2
main/java/org/apache/felix/framework/FakeURLStreamHandler.java,org.apache.felix.framework.FakeURLStreamHandler,7,7,0,0,0,0,0,0,1,1,1,7,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,1.0,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1.0,undefined,0.0,0.0,1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
main/java/org/apache/felix/framework/Felix.java,org.apache.felix.framework.Felix,3068,3068,0,0,0,0,45,32,167,108,186,3067,1463,1,0,1,8,8,0,100,59,8,1,0,0,1,0.0479041916167665,13,13,0,0.0425425425425425,0.0588961382472227,0.172152560083595,0.447753396029258,381,0.447753396029258,5425,5072,42,21,0.967289719626168,0.924457167447822,0.0763239875389408,0.0416666666666667,0.7196261682242991,0.644859813084112,-0.755971816463308,0.172152560083595,1,31,165,0.0,39,22,0,0,0,0,0,0,624,0,0,0,232,314,392,10,21,15,164,50,149,516,3
main/java/org/apache/felix/framework/FelixResolverState.java,org.apache.felix.framework.FelixResolverState,728,728,0,0,0,0,8,8,19,19,27,727,414,0,0,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0,0.124401913875598,0.14379084967320302,0.638888888888889,0.777777777777778,49,0.777777777777778,145,119,9,3,0.868055555555556,0.818181818181818,0.23391812865497105,0.177631578947368,0.6111111111111109,0.222222222222222,-0.128712871287129,0.583333333333333,0,0,0,0.0,14,7,0,0,0,0,0,0,95,0,0,0,0,61,95,1,7,1,12,7,61,58,0
main/java/org/apache/felix/framework/FindEntriesEnumeration.java,org.apache.felix.framework.FindEntriesEnumeration,100,100,0,0,0,0,8,8,4,4,4,99,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,0.666666666666667,1,1,2,1,2,0,1,1,0.708333333333333,0.5,0.833333333333333,0.46875,1.0,1.0,0,1,0,0,0,0.0,5,4,0,0,0,0,0,0,7,0,0,0,0,4,7,0,4,0,3,1,4,8,0
main/java/org/apache/felix/framework/FrameworkFactory.java,org.apache.felix.framework.FrameworkFactory,7,7,0,0,0,0,0,0,1,1,1,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1.0,1,1,0,1,0,0,1,1,undefined,1,1.0,undefined,0.0,0.0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,2,0,1,98,0
