relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/maven/surefire/Surefire.java,org.apache.maven.surefire.Surefire,192,192,0,0,0,0,6,6,8,8,19,192,114,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.222222222222222,0.0476190476190476,0.666666666666667,0.666666666666667,27,0.666666666666667,25,22,6,2,0.880952380952381,0.642857142857143,0.28571428571428603,0.229166666666667,0.7142857142857142,0.42857142857142894,-0.61904761904762,0.666666666666667,0,0,0,0.0,6,6,0,0,0,0,0,0,77,0,0,0,0,25,77,0,6,0,21,4,25,27,3
main/java/org/apache/maven/surefire/SurefireUtils.java,org.apache.maven.surefire.SurefireUtils,46,46,0,0,0,0,0,0,1,1,3,46,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1.0,1,1,0,1,0,0,1,1,undefined,1,1.0,undefined,0.0,0.0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,2,1,1,4,0
main/java/org/apache/maven/surefire/battery/AbstractBattery.java,org.apache.maven.surefire.battery.AbstractBattery,190,190,0,0,0,0,3,3,53,14,11,190,108,2,1,2,8,0,8,14,39,0,2,4,4,1,0.0,1,0,1,0.107142857142857,-0.0256410256410256,0.0555555555555556,0.0555555555555556,29,0.0555555555555556,88,85,12,4,0.948717948717949,0.8003663003663,0.120879120879121,0.119047619047619,0.23076923076923106,0.23076923076923106,-0.333333333333333,0.0555555555555556,0,0,0,4090.1709309566,3,3,0,0,3,0,0,0,44,0,0,0,0,14,44,0,3,0,14,0,14,71,0
main/java/org/apache/maven/surefire/battery/DirectoryBattery.java,org.apache.maven.surefire.battery.DirectoryBattery,62,62,0,0,0,0,7,4,55,3,6,62,42,3,0,3,1,1,0,2,52,1,3,0,0,1,0.0545454545454545,0,0,0,0.444444444444444,0.0,0,0,5,0,2,1,2,1,0.625,0.333333333333333,0.666666666666667,0.583333333333333,0.5,0.5,0,0,0,0,1,0.0,2,4,0,0,0,0,0,0,19,0,0,0,2,9,17,0,4,0,7,0,8,93,1
main/java/org/apache/maven/surefire/battery/JUnitBattery.java,org.apache.maven.surefire.battery.JUnitBattery,210,210,0,0,0,0,21,18,60,11,21,210,102,3,0,3,4,4,0,7,49,4,3,0,0,1,0.2,1,1,0,0.181818181818182,0.111111111111111,0.666666666666667,1,27,1,44,33,5,1,0.944444444444444,0.68,0.272727272727273,0.141414141414141,0.9,0.9,-0.911111111111112,0.666666666666667,0,0,2,0.0,3,17,0,0,0,0,0,0,7,0,0,0,3,3,4,0,17,0,21,1,1,82,0
main/java/org/apache/maven/surefire/battery/assertion/BatteryAssert.java,org.apache.maven.surefire.battery.assertion.BatteryAssert,255,255,0,0,0,0,0,0,42,42,93,255,126,1,2,1,0,0,0,42,0,0,1,1,5,1,0.0,0,0,0,0.132034632034632,-0.00609756097560976,0.587044534412955,0.587044534412955,47,0,861,861,42,6,undefined,0.818287403653257,0.0418118466898955,undefined,0.0,0.0,-0.347258485639688,0,0,0,0,8241.68389276276,3,0,0,0,2,0,0,0,16,0,0,0,0,7,16,0,0,0,30,2,7,48,0
main/java/org/apache/maven/surefire/battery/assertion/BatteryAssertionFailedError.java,org.apache.maven.surefire.battery.assertion.BatteryAssertionFailedError,11,11,0,0,0,0,0,0,2,2,1,10,4,1,1,1,0,0,0,2,0,0,1,1,1,1,0.0,0,0,0,0.5,0.0,undefined,undefined,0,undefined,1,1,2,2,undefined,0,0.0,undefined,0.0,0.0,0,undefined,0,0,0,21.3333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
main/java/org/apache/maven/surefire/battery/assertion/BatteryComparisonFailure.java,org.apache.maven.surefire.battery.assertion.BatteryComparisonFailure,51,51,0,0,0,0,2,2,4,2,3,51,36,2,0,2,0,0,0,2,2,0,2,0,0,1,0.0,0,0,0,0.5,1.0,1,1,0,1,0,0,1,1,0,0,1.0,1,1.0,1.0,0,1,0,0,1,0.0,1,2,0,0,0,0,0,0,10,0,0,0,2,3,8,0,2,0,4,1,2,5,0
main/java/org/apache/maven/surefire/report/AbstractReporter.java,org.apache.maven.surefire.report.AbstractReporter,84,84,0,0,0,0,7,7,19,19,16,84,42,0,1,0,65,0,65,19,0,0,0,8,8,0,0.0,2,0,2,0.184210526315789,-0.0588235294117647,0.0588235294117647,0.104575163398693,0,0.104575163398693,162,153,13,13,0.936507936507937,0.730994152046784,0.0526315789473684,0.112781954887218,0.277777777777778,0.0555555555555556,-0.135135135135135,0.0588235294117647,0,0,0,1859.59223086102,1,2,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,19,1
main/java/org/apache/maven/surefire/report/BriefConsoleReporter.java,org.apache.maven.surefire.report.BriefConsoleReporter,87,87,0,0,0,0,12,5,22,11,13,87,55,1,0,1,8,8,0,3,11,8,1,0,0,1,0.363636363636364,0,0,0,0.25,0.244444444444444,0.392857142857143,0.535714285714286,8,0.535714285714286,36,17,4,3,0.78,0.663636363636364,0.381818181818182,0.290909090909091,0.7,0.7,-0.111111111111111,0.392857142857143,0,0,8,0.0,1,3,0,0,0,0,0,0,21,0,0,0,17,12,4,0,3,0,2,0,4,27,0
