relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
archiva-web/archiva-applet/src/main/java/org/apache/maven/archiva/applet/ChecksumApplet.java,org.apache.maven.archiva.applet.ChecksumApplet,87,87,0,0,0,0,3,3,4,4,3,86,47,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.375,-0.333333333333333,0,0,2,0,5,4,3,2,0.888888888888889,0.416666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,4,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/AbstractProgressConsumer.java,org.apache.maven.archiva.cli.AbstractProgressConsumer,24,24,0,0,0,0,2,1,9,3,2,24,10,2,1,2,1,0,1,3,6,0,2,2,2,1,0.0,1,0,1,0.333333333333333,1,1,1,0,1,0,0,1,1,0,0.333333333333333,1,1,1,1,0,1,0,0,0,125.938402457491,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ArchivaCli.java,org.apache.maven.archiva.cli.ArchivaCli,179,179,0,0,0,0,9,9,10,10,19,179,107,1,0,1,0,0,0,10,0,0,1,0,0,1,0.0,0,0,0,0.18,0.0555555555555556,0.166666666666667,0.166666666666667,43,0.166666666666667,39,33,6,3,0.91358024691358,0.733333333333333,0.244444444444444,0.177777777777778,0.555555555555556,0.111111111111111,-0.071428571428571,0.166666666666667,0,0,0,0.0,9,3,0,0,0,0,0,0,2,0,0,0,0,1,2,0,3,0,21,0,1,15,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ArtifactCountConsumer.java,org.apache.maven.archiva.cli.ArtifactCountConsumer,44,44,0,0,0,0,5,3,15,6,0,44,28,3,0,3,0,0,0,6,9,0,3,0,0,1,0.0,0,0,0,undef,-0.4,0,0,0,0,14,13,5,5,0.933333333333333,undef,0.0666666666666667,0.222222222222222,0.2,0.2,undef,0,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,15,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ProjectReaderConsumer.java,org.apache.maven.archiva.cli.ProjectReaderConsumer,61,61,0,0,0,0,7,5,16,8,3,61,32,3,0,3,1,1,0,7,8,1,3,0,0,1,0.1875,1,1,0,0.125,-0.19047619047619,0.0476190476190476,0.0476190476190476,0,0.0476190476190476,25,22,5,5,0.914285714285714,0.75,0.107142857142857,0.2,0.428571428571429,0.285714285714286,0,0.0476190476190476,0,0,2,0.0,4,3,0,0,0,0,0,0,4,0,0,0,4,2,0,0,3,0,6,0,0,17,0
archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/ArchivaException.java,org.apache.maven.archiva.common.ArchivaException,12,12,0,0,0,0,0,0,2,2,3,12,5,1,2,1,0,0,0,2,0,0,1,8,10,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,undefined,0.5,0,undefined,0,0,0,undefined,0,0,0,402.160213304611,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,2,0
archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/BaseFile.java,org.apache.maven.archiva.common.utils.BaseFile,59,59,0,0,0,0,1,1,11,11,13,59,31,1,0,1,0,0,0,11,0,0,1,0,0,1,0.0,0,0,0,0.333333333333333,0.155555555555556,1,1,0,1,40,25,6,4,0.5,0.575757575757576,0.309090909090909,0.545454545454545,0.6,0.2,-0.523809523809524,1,1,7,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,8,15,0,11,0
archiva-base/archiva-common/src/test/java/org/apache/maven/archiva/common/utils/BaseFileTest.java,org.apache.maven.archiva.common.utils.BaseFileTest,83,83,0,0,0,0,0,0,10,10,6,83,60,1,0,1,0,0,0,10,0,0,1,0,0,1,0.0,0,0,0,0.3,0.333333333333333,1,1,63,0,45,45,10,1,undefined,0.533333333333333,0.466666666666667,undefined,0,0,-1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,27,0,0,0,0,13,27,0,0,0,6,0,13,19,0
archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/Checksums.java,org.apache.maven.archiva.common.utils.Checksums,159,159,0,0,0,0,3,3,7,7,19,159,78,1,0,1,0,0,0,7,0,0,1,0,0,1,0.0,0,0,0,0.428571428571429,0.2,1,1,44,1,18,15,5,1,0.888888888888889,0.603174603174603,0.428571428571429,0.238095238095238,0.666666666666667,0,-0.083333333333333,1,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,21,6,0,7,0
archiva-base/archiva-common/src/test/java/org/apache/maven/archiva/common/utils/ChecksumsTest.java,org.apache.maven.archiva.common.utils.ChecksumsTest,210,210,0,0,0,0,2,2,24,24,12,210,111,1,0,1,0,0,0,24,0,0,1,0,0,1,0.0,0,0,0,0.0972222222222222,0.339920948616601,1,1,92,0.784313725490196,192,108,9,1,0.608695652173913,0.822463768115942,0.394927536231884,0.416666666666667,0.652173913043478,0,-0.2,0.549019607843137,0,0,0,0.0,1,2,0,0,0,0,0,0,4,0,0,0,0,2,4,0,2,0,14,0,2,31,0
