relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
gremlin-benchmark/src/main/java/org/apache/tinkerpop/benchmark/util/AbstractBenchmarkBase.java,org.apache.tinkerpop.benchmark.util.AbstractBenchmarkBase,58,58,0,0,0,0,5,5,6,6,2,58,39,0,2,0,0,0,0,6,0,0,0,2,4,0,0.0,0,0,0,0.166666666666667,0.2,1,1,17,1,15,15,6,1,1,0.666666666666667,0.466666666666667,0.166666666666667,0.8,0,0,1,0,0,0,1203.1195170082801,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0
gremlin-benchmark/src/main/java/org/apache/tinkerpop/benchmark/util/AbstractGraphBenchmark.java,org.apache.tinkerpop.benchmark.util.AbstractGraphBenchmark,32,32,0,0,0,0,8,3,6,1,0,32,24,1,1,1,0,0,0,1,5,0,1,1,1,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,0,0,undef,1,0,0,0,176.264423795955,8,2,0,0,0,0,0,0,3,0,0,0,0,3,3,0,2,0,0,0,3,27,0
gremlin-benchmark/src/main/java/org/apache/tinkerpop/benchmark/util/AbstractGraphMutateBenchmark.java,org.apache.tinkerpop.benchmark.util.AbstractGraphMutateBenchmark,9,9,0,0,0,0,7,2,6,1,0,9,6,1,1,1,1,0,1,1,5,0,1,1,1,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,0,0,undef,1,0,0,0,23.436118214893604,3,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,23,0
gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGraphProvider.java,org.apache.tinkerpop.gremlin.AbstractGraphProvider,58,58,0,0,0,0,1,1,7,7,21,58,32,0,3,0,14,0,14,7,0,0,0,5,26,0,0.0,3,0,3,0.285714285714286,-0.2,0,0,10,0,21,21,7,4,1,0.64021164021164,0.142857142857143,0.142857142857143,0,0,0.222222222222222,0,0,0,0,15009.580780903201,10,1,0,0,4,0,0,0,14,0,0,0,0,9,14,0,1,0,22,0,9,15,0
gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java,org.apache.tinkerpop.gremlin.AbstractGremlinSuite,208,208,0,0,0,0,2,2,12,12,25,208,133,1,2,1,10,0,10,12,0,0,1,12,14,1,0.0,0,0,0,0.136904761904762,-0.0181818181818182,0,0,26,0,64,62,10,3,0.909090909090909,0.752164502164502,0.151515151515152,0.166666666666667,0.181818181818182,0.0909090909090909,-0.833333333333335,0,0,0,0,13238.4547605803,11,1,0,0,14,0,0,0,8,0,0,0,0,3,8,0,1,0,29,0,3,16,0
gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinTest.java,org.apache.tinkerpop.gremlin.AbstractGremlinTest,147,147,0,0,0,0,6,6,23,23,41,147,108,0,4,0,7,0,7,23,0,0,0,73,218,0,0.0,3,0,3,0.14975845410628,0.00432900432900433,0.087719298245614,0.210526315789474,18,0.087719298245614,241,229,18,7,0.931818181818182,0.79358805445762,0.0909090909090909,0.108695652173913,0.227272727272727,0.181818181818182,-0.373831775700934,0.0701754385964912,0,0,0,330252.206829672,22,4,0,0,1439,0,0,0,10,0,0,0,0,6,10,0,4,0,23,0,6,43,0
gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/GraphManager.java,org.apache.tinkerpop.gremlin.GraphManager,111,111,0,0,0,0,2,2,4,4,2,111,64,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,-0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,4,2,2,2,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0.0,3,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,3,10,1,5,0
gremlin-core/src/test/java/org/apache/tinkerpop/gremlin/TestHelper.java,org.apache.tinkerpop.gremlin.TestHelper,67,67,0,0,0,0,2,2,11,11,19,67,59,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.340909090909091,-0.0222222222222222,0.416666666666667,0.416666666666667,15,0.416666666666667,52,49,9,4,0.9,0.636363636363636,0.163636363636364,0.181818181818182,0.6,0,-0.2,0.416666666666667,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,89,0,11,0
gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/algorithm/generator/AbstractGenerator.java,org.apache.tinkerpop.gremlin.algorithm.generator.AbstractGenerator,52,52,0,0,0,0,5,5,3,3,9,52,41,0,1,0,0,0,0,3,0,0,0,2,2,0,0.0,0,0,0,0.380952380952381,0,undefined,undefined,0,undefined,1,0,1,1,0.7,0.333333333333333,0.666666666666667,0.533333333333333,1,1,0,undefined,0,0,0,391.040369700853,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,3,0
gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/algorithm/generator/AbstractGeneratorTest.java,org.apache.tinkerpop.gremlin.algorithm.generator.AbstractGeneratorTest,18,18,0,0,0,0,6,0,24,3,6,18,9,1,1,1,0,0,0,3,21,0,1,2,2,1,0.0,0,0,0,0.555555555555556,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,0,601.097239755594,4,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,0,1,47,0
