relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
tobago-core/src/main/java/org/apache/myfaces/tobago/application/LabelValueExpressionFacesMessage.java,org.apache.myfaces.tobago.application.LabelValueExpressionFacesMessage,29,29,0,0,0,0,0,0,6,6,6,29,17,1,0,1,0,0,0,6,0,0,1,0,0,1,0.0,0,0,0,0.333333333333333,-0.5,0,0,0,0,15,15,6,6,undefined,0.533333333333333,0,undefined,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,6,0
tobago-core/src/main/java/org/apache/myfaces/tobago/application/ProjectStage.java,org.apache.myfaces.tobago.application.ProjectStage,8,8,0,0,0,0,6,6,2,2,1,8,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0
tobago-tool/tobago-tool-apt/src/main/java/org/apache/myfaces/tobago/apt/AnnotationUtils.java,org.apache.myfaces.tobago.apt.AnnotationUtils,16,16,0,0,0,0,0,0,3,3,2,16,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0
tobago-tool/tobago-tool-annotation/src/main/java/org/apache/myfaces/tobago/apt/annotation/Category.java,org.apache.myfaces.tobago.apt.annotation.Category,7,7,0,0,0,0,5,5,3,3,1,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0
tobago-tool/tobago-tool-annotation/src/main/java/org/apache/myfaces/tobago/apt/annotation/DynamicExpression.java,org.apache.myfaces.tobago.apt.annotation.DynamicExpression,72,72,0,0,0,0,12,12,8,8,4,72,30,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.125,-0.142857142857143,0.0476190476190476,0.0476190476190476,0,0.0476190476190476,24,20,4,4,0.857142857142857,0.75,0.142857142857143,0.25,0.428571428571429,0.428571428571429,0,0.0476190476190476,0,0,0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0
tobago-tool/tobago-tool-apt/src/main/java/org/apache/myfaces/tobago/apt/generate/ClassInfo.java,org.apache.myfaces.tobago.apt.generate.ClassInfo,56,56,0,0,0,0,6,6,11,11,5,56,40,0,3,0,0,0,0,11,0,0,0,1,3,0,0.0,0,0,0,0.363636363636364,0.2,0.266666666666667,0.622222222222222,0,0.622222222222222,36,17,1,1,0.8,0.490909090909091,0.345454545454545,0.272727272727273,1,0.9,0,0.266666666666667,0,0,0,860.984851598181,2,6,0,0,3,0,0,0,17,0,0,0,0,9,17,0,6,1,11,9,9,18,0
tobago-tool/tobago-tool-apt/src/main/java/org/apache/myfaces/tobago/apt/generate/ClassUtils.java,org.apache.myfaces.tobago.apt.generate.ClassUtils,39,39,0,0,0,0,1,1,6,6,5,39,28,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.833333333333333,-0.4,0.1,0.1,0,0.1,14,13,5,5,0.8,0.666666666666667,0.0666666666666667,0.333333333333333,0.2,0,0,0.1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9,0,6,0
tobago-tool/tobago-tool-apt/src/main/java/org/apache/myfaces/tobago/apt/generate/ComponentInfo.java,org.apache.myfaces.tobago.apt.generate.ComponentInfo,80,80,0,0,0,0,22,9,43,18,10,80,56,3,0,3,2,2,0,16,25,2,3,0,0,1,0.13953488372093,0,0,0,0.0888888888888889,-0.0367647058823529,0.1,0.208333333333333,0,0.208333333333333,141,129,8,8,0.934640522875817,0.832679738562092,0.0784313725490196,0.117283950617284,0.352941176470588,0.0588235294117647,-0.333333333333314,0.1,0,0,6,0.0,4,5,0,0,0,0,0,0,22,0,0,0,15,10,7,0,5,3,12,11,4,55,0
tobago-tool/tobago-tool-apt/src/main/java/org/apache/myfaces/tobago/apt/generate/ComponentPropertyInfo.java,org.apache.myfaces.tobago.apt.generate.ComponentPropertyInfo,31,31,0,0,0,0,17,2,53,9,2,31,21,1,0,1,0,0,0,9,44,0,1,0,0,1,0.0,0,0,0,0.222222222222222,-0.0714285714285714,0.166666666666667,0.166666666666667,0,0.166666666666667,30,24,5,5,0.75,0.611111111111111,0.166666666666667,0.333333333333333,0.25,0.25,0,0.166666666666667,0,0,3,0.0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,2,3,2,0,53,0
tobago-tool/tobago-tool-apt/src/main/java/org/apache/myfaces/tobago/apt/generate/Imports.java,org.apache.myfaces.tobago.apt.generate.Imports,31,31,0,0,0,0,2,2,6,6,4,31,21,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,0.2,1,1,2,1,8,1,2,2,0.6,0.533333333333333,0.466666666666667,0.5,0.8,0.4,1,1,0,0,0,0.0,1,2,0,0,0,0,0,0,6,0,0,0,0,3,6,1,2,0,4,5,3,9,0
