relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
api/src/main/java/javax/faces/FacesException.java,javax.faces.FacesException,25,25,0,0,0,0,1,1,5,5,4,25,12,1,2,1,0,0,0,5,0,0,1,9,14,1,0.0,0,0,0,0.4,-0.666666666666667,1,1,0,1,10,10,5,5,1.25,0.4,0,0,0,0,-1,1,0,0,0,1097.5698787499198,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33,5,127,0,5,0
api/src/test/java/javax/faces/FacesExceptionTest.java,javax.faces.FacesExceptionTest,48,48,0,0,0,0,0,0,8,8,0,48,23,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,undef,-0.333333333333333,0,0,0,0,28,28,8,8,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,1,0,0,0,0,0,0,0,11,0,0,0,0,7,11,0,0,0,0,0,7,13,0
api/src/main/java/javax/faces/FactoryFinder.java,javax.faces.FactoryFinder,371,371,0,0,0,0,18,18,11,11,25,371,201,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.181818181818182,0.155555555555556,1,1,29,1,46,37,6,2,1.02222222222222,0.716363636363636,0.309090909090909,0.0707070707070707,0.8,0.3,-0.466666666666667,1,0,0,0,0.0,12,16,0,0,0,0,0,0,14,0,0,0,0,6,14,0,16,0,26,117,6,14,0
api/src/test/java/javax/faces/FactoryFinderTest.java,javax.faces.FactoryFinderTest,185,185,0,0,0,0,0,0,15,15,9,185,89,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.2,-0.0879120879120879,0.109090909090909,0.109090909090909,21,0,105,105,15,9,undefined,0.682539682539683,0.0571428571428571,undefined,0,0,-0.333333333333333,0,0,0,0,0.0,3,0,0,0,0,0,0,0,75,0,0,0,0,17,75,0,0,0,11,0,17,28,0
api/src/main/java/javax/faces/_FactoryFinderProviderFactory.java,javax.faces._FactoryFinderProviderFactory,85,85,0,0,0,0,9,9,3,3,4,85,43,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,-1,0,0,2,0,3,3,3,2,1.38888888888889,0.333333333333333,0.333333333333333,0.0740740740740741,0,0,0,0,0,0,0,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,1,0,3,0
api/src/main/java/javax/faces/application/Application.java,javax.faces.application.Application,309,309,0,0,0,0,0,0,63,63,71,309,186,0,2,0,142,0,142,63,0,0,0,3,6,0,0.0,15,0,15,0.0468975468975469,-0.0185087255420412,0.0896174863387978,0.0896174863387978,33,0,1953,1953,63,38,undefined,0.918726434855467,0.0138248847926267,undefined,0,0,-0.535147392290249,0,0,0,0,8898.63992054743,20,0,0,1,69,0,0,0,5,0,0,0,0,5,5,10,0,8,94,342,5,66,0
api/src/main/java/javax/faces/application/ApplicationFactory.java,javax.faces.application.ApplicationFactory,9,9,0,0,0,0,0,0,3,3,1,9,5,0,1,0,6,0,6,3,0,0,0,3,3,0,0.0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,76.06466250649041,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,0,3,0
api/src/test/java/javax/faces/application/ApplicationTest.java,javax.faces.application.ApplicationTest,62,62,0,0,0,0,1,1,12,12,0,62,27,1,0,1,0,0,0,12,0,0,1,0,0,1,0.0,0,0,0,undef,0.8,1,1,0,1,11,0,2,2,0.0909090909090909,undef,0.833333333333333,0.916666666666667,0.909090909090909,0.818181818181818,undef,1,0,0,0,0.0,2,1,0,0,0,0,0,0,20,0,0,0,0,9,20,0,1,0,0,0,9,26,0
api/src/main/java/javax/faces/application/ApplicationWrapper.java,javax.faces.application.ApplicationWrapper,318,318,0,0,0,0,0,0,63,63,70,318,125,1,1,1,63,61,2,2,0,61,1,1,1,1,0.968253968253968,0,0,0,0.0461760461760462,-0.000528820729772607,0.967741935483871,0.967741935483871,61,0,1953,1953,63,2,undefined,0.919750500395662,0.0312339989759345,undefined,0,0,-0.529131985731275,0,0,1,61,1551.14675248696,19,0,0,0,0,0,0,0,131,0,0,0,131,61,0,0,0,0,0,1,0,129,0
api/src/main/java/javax/faces/application/ConfigurableNavigationHandler.java,javax.faces.application.ConfigurableNavigationHandler,12,12,0,0,0,0,0,0,5,4,4,12,6,1,2,1,10,0,10,4,1,0,1,3,7,1,0.0,0,0,0,0.375,-1,0,0,0,0,6,6,4,4,undefined,0.416666666666667,0,undefined,0,0,0,0,0,0,1,431.06897177000803,2,0,1,1,2,0,0,0,5,0,0,0,4,2,1,1,0,0,6,3,1,6,0
