relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
maven-scm-api/src/main/java/org/apache/maven/scm/ChangeFile.java,org.apache.maven.scm.ChangeFile,39,39,0,0,0,0,2,2,7,7,5,39,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.571428571428571,0.0666666666666667,0.6,1,9,1,19,17,5,1,0.833333333333333,0.428571428571429,0.333333333333333,0.285714285714286,1,0.5,0,0.6,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,11,8,39,0,7,0
maven-scm-api/src/main/java/org/apache/maven/scm/ChangeSet.java,org.apache.maven.scm.ChangeSet,291,291,0,0,0,0,17,17,22,22,30,291,150,0,1,0,1,0,1,22,0,0,0,1,1,0,0.0,0,0,0,0.116883116883117,0.142857142857143,0.450980392156863,1,28,1,194,157,9,2,0.957983193277311,0.807050092764378,0.220779220779221,0.0855614973262032,0.904761904761905,0.523809523809524,-0.294117647058825,0.450980392156863,0,0,0,1654.45297228354,2,17,0,0,5,0,0,0,4,0,0,0,0,4,4,10,17,10,38,131,4,25,1
maven-scm-api/src/main/java/org/apache/maven/scm/CommandLineScmResult.java,org.apache.maven.scm.CommandLineScmResult,14,14,0,0,0,0,5,1,8,2,2,14,7,1,0,1,0,0,0,2,6,0,1,0,0,1,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0,0,0,0,1,0,0,8,0
maven-scm-api/src/main/java/org/apache/maven/scm/CommandParameter.java,org.apache.maven.scm.CommandParameter,29,29,0,0,0,0,18,18,2,2,1,29,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,1.88888888888889,0,1,0.0555555555555556,1,1,0,1,0,0,0,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,6,0,2,1
maven-scm-api/src/main/java/org/apache/maven/scm/CommandParameters.java,org.apache.maven.scm.CommandParameters,114,114,0,0,0,0,1,1,15,15,26,114,52,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.247619047619048,0,1,1,43,1,104,103,14,1,0.928571428571429,0.804081632653061,0.133333333333333,0.133333333333333,1,0,0.761904761904762,1,0,0,0,0.0,2,1,0,0,0,0,0,0,14,0,0,0,0,10,14,0,1,29,28,48,10,17,1
maven-scm-api/src/main/java/org/apache/maven/scm/NoSuchCommandScmException.java,org.apache.maven.scm.NoSuchCommandScmException,13,13,0,0,0,0,1,1,4,2,1,13,6,2,0,2,0,0,0,2,2,0,2,0,0,1,0.0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,1,0,0,0.5,0,0,0,1,0,0,1,0.0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,2,10,0,4,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmException.java,org.apache.maven.scm.ScmException,12,12,0,0,0,0,0,0,2,2,3,12,5,1,1,1,0,0,0,2,0,0,1,3,3,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,undefined,0.5,0,undefined,0,0,0,undefined,0,0,0,120.648063991383,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,3,156,0,2,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmFile.java,org.apache.maven.scm.ScmFile,39,39,0,0,0,0,2,2,7,7,4,39,20,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.19047619047619,0.733333333333333,0.733333333333333,1,2,1,4,0,1,1,0.416666666666667,0.650793650793651,0.80952380952381,0.642857142857143,1,1,0,0.733333333333333,0,0,0,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,5,181,1,8,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmFileSet.java,org.apache.maven.scm.ScmFileSet,66,66,0,0,0,0,3,3,10,10,12,66,33,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.25,0.166666666666667,0.666666666666667,1,0,1,32,19,5,3,0.740740740740741,0.677777777777778,0.333333333333333,0.333333333333333,0.666666666666667,0.444444444444444,0.230769230769231,0.666666666666667,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,194,16,337,0,10,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmFileStatus.java,org.apache.maven.scm.ScmFileStatus,39,39,0,0,0,0,12,12,6,6,1,39,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.166666666666667,-0.2,0.2,0.2,2,0.2,14,13,5,3,0.983333333333333,0.666666666666667,0.2,0.180555555555556,0.2,0.2,0,0.2,0,0,0,0.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,2,10,0,6,1
